Type-sub,Type-obj,Mono-sub,Mono-obj,Streng-sub,Streng-obj,neg,pred,Type-sub,Type-obj,Mono-sub,Mono-obj,Streng-sub,Streng-obj,neg,pred
Non-num,Non-num,up,up,10,7.5,no,high,,,,,,,,
num,num,Non-mono,up,4,7.5,no,high,,,,,,,,
num,Non-num,Non-mono,up,4,10,no,high,,,,,,,,
,,,,,,,,,,,,,,,
Non-num,num,down,up,0,7.5,no,high,,,,,,,,
num,Non-num,Non-mono,up,4,10,no,high,,,,,,,,
num,Non-num,Non-mono,down,4,0,yes,high,,,,,,,,
Non-num,no,up,,6,,no,high,,,,,,,,
num,Non-num,Non-mono,down,4,2,no,high,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Non-num,Non-num,up,down,6,4,no,low,,,,,,,,
Non-num,Non-num,down,up,0,10,no,high,,,,,,,,
Non-num,Non-num,up,down,6,4,no,high,,,,,,,,
Non-num,Non-num,down,up,0,10,no,high,,,,,,,,
Non-num,Non-num,up,down,6,1,no,low,,,,,,,,
Non-num,Non-num,up,up,4,10,no,high,,,,,,,,
Non-num,Non-num,up,down,6,4,no,low,,,,,,,,
Non-num,num,down,up,0,7.5,no,high,,,,,,,,
,,,,,,,,Non-num,no,down,,2,10,no,high
Non-num,Non-num,up,up,6,10,no,high,,,,,,,,
,,,,,,,,,,,,,,,
num,Non-num,Non-mono,up,6,10,no,low,,,,,,,,
Non-num,num,down,up,0,7.5,no,high,,,,,,,,
num,num,Non-mono,up,6,2.5,no,high,,,,,,,,
Non-num,num,up,up,10,7.5,no,high,,,,,,,,
num,Non-num,Non-mono,up,4,10,no,low,,,,,,,,
num,Non-num,Non-mono,up,4,10,no,low,,,,,,,,
num,num,Non-mono,up,4,7.5,no,high,,,,,,,,
Non-num,num,up,up,10,7.5,no,high,,,,,,,,
,,,,,,,,,,,,,,,
num,num,Non-mono,up,4,10,no,high,,,,,,,,
,,,,,,,,,,,,,,,
Non-num,num,up,up,10,7.5,no,high,,,,,,,,
Non-num,Non-num,up,down,6,4,no,high,,,,,,,,
Non-num,num,up,down,6,8,no,high,,,,,,,,
Non-num,Non-num,down,down,0,0,no,high,,,,,,,,
,,,,,,,,,,,,,,,
num,num,Non-mono,Non-mono,4,10,no,high,,,,,,,,
Non-num,Non-num,up,up,6,2,no,high,,,,,,,,
Non-num,Non-num,up,up,10,10,no,high,,,,,,,,
,,,,,,,,,,,,,,,
Non-num,Non-num,up,up,6,6,no,high,,,,,,,,
num,no,up,,6,4,no,low,,,,,,,,
Non-num,Non-num,up,up,6,2,no,high,,,,,,,,
num,num,Non-mono,Non-mono,4,0,no,low,,,,,,,,
Non-num,Non-num,up,up,6,2,no,high,,,,,,,,
num,Non-num,Non-mono,up,6,2,no,high,,,,,,,,
num,Non-num,Non-mono,down,6,4,no,low,num,no,Non-mono,,3,,no,high
num,num,Non-mono,Non-mono,4,7,no,high,,,,,,,,
Non-num,Non-num,up,up,4,10,no,high,,,,,,,,
num,Non-num,Non-mono,down,4,0,yes,high,,,,,,,,
Non-num,Non-num,down,down,0,0,no,low,,,,,,,,
Non-num,Non-num,up,up,10,10,no,high,,,,,,,,
Non-num,Non-num,up,up,6,2,no,high,,,,,,,,
num,Non-num,Non-mono,down,4,0,no,high,num,num,Non-mono,down,2,2.5,no,high
Non-num,Non-num,Non-mono,up,6,6,no,high,num,Non-num,Non-mono,up,4,10,no,high
,,,,,,,,,,,,,,,
Non-num,Non-num,down,down,0,0,yes,low,,,,,,,,
Non-num,Non-num,up,up,6,6,no,high,num,Non-num,Non-mono,up,4,10,no,high
Non-num,Non-num,up,up,6,6,no,high,,,,,,,,
num,Non-num,Non-mono,up,6,10,no,high,,,,,,,,
,,,,,,,,Non-num,num,down,down,0,2.5,no,high
num,Non-num,Non-mono,up,6,10,no,high,num,Non-num,Non-mono,up,4,6,no,high
num,Non-num,Non-mono,up,6,10,no,high,,,,,,,,
Non-num,Non-num,up,down,6,0,yes,high,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Non-num,Non-num,up,up,4,2,no,high,,,,,,,,
,,,,,,,,,,,,,,,
Non-num,Non-num,down,up,0,10,no,high,Non-num,num,up,up,10,2.5,no,low
,,,,,,,,,,,,,,,
Non-num,Non-num,down,up,0,10,no,high,Non-num,Non-num,up,down,2,0,no,low
num,num,up,up,5,10,no,high,,,,,,,,
num,num,down,up,5,10,no,high,Non-num,Non-num,up,down,4,0,no,low
